Canal,Franja Horaria,Año,Fecha,Día de la semana,Mes,Share Niños 4-8 años,Rating en Miles Niños 4-8 años,Share Amas de casa 18+,Rating en Miles Amas de casa 18+,Share Personas 4+,Rating en Miles Personas 4+
Boomerang,0600-2400,2018,2018-01-01,Monday,1,1.66,4.39,0.42,5.18,0.71,23.11
Boomerang,0600-2400,2018,2018-01-02,Tuesday,1,3.67,11.86,0.52,6.99,1.21,44.42
Boomerang,0600-2400,2018,2018-01-03,Wednesday,1,2.44,7.54,0.33,4.78,0.84,31.47
Boomerang,0600-2400,2018,2018-01-04,Thursday,1,2.44,7.82,0.57,7.58,1.05,36.85
Boomerang,0600-2400,2018,2018-01-05,Friday,1,2.5,7.94,0.47,6.8,0.76,27.18
Boomerang,0600-2400,2018,2018-01-06,Saturday,1,4.86,10.78,0.49,6.43,1.13,36.58
Boomerang,0600-2400,2018,2018-01-07,Sunday,1,3.81,10.29,0.69,9.06,1.16,38.61
Boomerang,0600-2400,2018,2018-01-08,Monday,1,1.83,4.88,0.63,8.69,0.79,29.17
Boomerang,0600-2400,2018,2018-01-09,Tuesday,1,2.45,9.21,0.68,9.82,1.06,42.01
Boomerang,0600-2400,2018,2018-01-10,Wednesday,1,3.61,10.8,0.5,7.42,0.99,36.77
Boomerang,0600-2400,2018,2018-01-11,Thursday,1,2.79,9.3,0.53,7.82,0.79,29.93
Boomerang,0600-2400,2018,2018-01-12,Friday,1,2.7,8.06,0.38,5.58,0.79,29.54
Boomerang,0600-2400,2018,2018-01-13,Saturday,1,2.86,9.64,0.55,7.76,1.21,44.64
Boomerang,0600-2400,2018,2018-01-14,Sunday,1,3.45,11.69,0.85,12.03,1.4,55.92
Boomerang,0600-2400,2018,2018-01-15,Monday,1,3.38,11.32,0.36,5.6,1.07,42.69
Boomerang,0600-2400,2018,2018-01-16,Tuesday,1,1.67,5.9,0.52,7.86,0.7,28.32
Boomerang,0600-2400,2018,2018-01-17,Wednesday,1,1.89,7.01,0.58,8.94,0.78,31.21
Boomerang,0600-2400,2018,2018-01-18,Thursday,1,1.7,5.91,0.7,10.54,0.63,24.44
Boomerang,0600-2400,2018,2018-01-19,Friday,1,3.66,11.51,0.59,8.24,0.76,27.96
Boomerang,0600-2400,2018,2018-01-20,Saturday,1,3.38,9.67,0.74,9.51,0.91,31.26
Boomerang,0600-2400,2018,2018-01-21,Sunday,1,2.11,5.26,0.4,5.41,0.73,27.44
Boomerang,0600-2400,2018,2018-01-22,Monday,1,2.31,6.81,0.57,8.3,0.8,29.44
Boomerang,0600-2400,2018,2018-01-23,Tuesday,1,4.95,14.3,0.91,13.37,1.18,43.9
Boomerang,0600-2400,2018,2018-01-24,Wednesday,1,4.12,11.13,0.69,10.11,1.09,39.9
Boomerang,0600-2400,2018,2018-01-25,Thursday,1,2.41,6.44,0.54,7.78,0.85,30.3
Boomerang,0600-2400,2018,2018-01-26,Friday,1,1.88,5.52,0.18,2.68,0.79,29.34
Boomerang,0600-2400,2018,2018-01-27,Saturday,1,2.68,8.44,0.58,7.82,1.09,38.6
Boomerang,0600-2400,2018,2018-01-28,Sunday,1,8.26,19.56,0.41,5.86,1.23,47.2
Boomerang,0600-2400,2018,2018-01-29,Monday,1,4.48,11.75,0.25,3.55,0.84,30.03
Boomerang,0600-2400,2018,2018-01-30,Tuesday,1,2.53,6.5,0.4,5.83,0.94,34.09
Boomerang,0600-2400,2018,2018-01-31,Wednesday,1,2.07,5.3,0.46,6.97,0.87,32.18
Boomerang,0600-2400,2018,2018-02-01,Thursday,2,3.62,8.57,0.5,7.33,1.0,36.14
Boomerang,0600-2400,2018,2018-02-02,Friday,2,2.78,6.98,0.71,9.83,1.1,37.15
Boomerang,0600-2400,2018,2018-02-03,Saturday,2,2.68,7.74,0.79,10.24,0.99,33.21
Boomerang,0600-2400,2018,2018-02-04,Sunday,2,2.59,6.65,0.37,5.12,0.68,25.14
Boomerang,0600-2400,2018,2018-02-05,Monday,2,1.58,3.95,0.38,5.49,0.55,19.0
Boomerang,0600-2400,2018,2018-02-06,Tuesday,2,1.48,3.28,0.47,6.47,0.7,23.15
Boomerang,0600-2400,2018,2018-02-07,Wednesday,2,2.85,6.22,0.25,3.61,0.6,20.99
Boomerang,0600-2400,2018,2018-02-08,Thursday,2,2.57,5.92,0.28,4.02,0.75,26.39
