Canal,Año,Mes,Share Niños 4-8 años,Rating en Miles Niños 4-8 años,Share Amas de casa 18+,Rating en Miles Amas de casa 18+,Share Personas 4+,Rating en Miles Personas 4+,Fecha
A&E,2018,1,0.0803225806451613,7.58,0.24451612903225806,105.31,0.19516129032258064,222.13,2018-01-01
A&E,2018,2,0.08464285714285714,5.64,0.1742857142857143,68.72,0.15357142857142855,154.34,2018-02-01
A&E,2018,3,0.1532258064516129,14.379999999999999,0.1761290322580645,76.31,0.1764516129032258,198.28,2018-03-01
A&E,2018,4,0.03166666666666667,2.5900000000000003,0.17066666666666666,73.12,0.14033333333333334,150.86,2018-04-01
A&E,2018,5,0.04903225806451613,4.05,0.12741935483870967,56.46,0.1293548387096774,144.47,2018-05-01
A&E,2018,6,0.04533333333333334,3.86,0.14533333333333334,63.9,0.16633333333333333,188.85999999999999,2018-06-01
A&E,2018,7,0.06387096774193549,5.0600000000000005,0.15225806451612903,66.33,0.16870967741935486,185.81,2018-07-01
A&E,2018,8,0.035806451612903224,3.13,0.16483870967741937,71.0,0.1761290322580645,186.26,2018-08-01
A&E,2018,9,0.09166666666666666,6.25,0.15266666666666667,62.57,0.15233333333333335,157.54,2018-09-01
A&E,2018,10,0.11290322580645161,7.79,0.17225806451612902,72.1,0.1764516129032258,184.89,2018-10-01
A&E,2018,11,0.06666666666666667,5.33,0.2,78.61,0.17633333333333334,176.83,2018-11-01
A&E,2018,12,0.07838709677419356,6.08,0.1858064516129032,63.11,0.18741935483870967,166.0,2018-12-01
A&E,2019,1,0.17161290322580647,12.22,0.2470967741935484,102.5,0.22161290322580646,228.66,2019-01-01
A&E,2019,2,0.20785714285714288,12.4,0.2175,86.58,0.20321428571428574,196.87,2019-02-01
A&E,2019,3,0.18193548387096775,12.129999999999999,0.21516129032258063,93.26,0.18193548387096772,197.81,2019-03-01
A&E,2019,4,0.13333333333333333,8.43,0.238,100.02,0.21066666666666667,218.4,2019-04-01
A&E,2019,5,0.10258064516129033,6.62,0.2564516129032258,109.35,0.23193548387096777,246.92000000000002,2019-05-01
A&E,2019,6,0.111,8.4,0.224,91.59,0.23,243.63,2019-06-01
