Año,Mes,Total Niños 4-8 años,Total Amas de casa 18+,Total Personas 4+
2018,1,9273.23,44111.69,114360.49
2018,2,7160.95,40351.37,99650.95
2018,3,8355.12,43686.37,111550.1
2018,4,7471.17,43215.19,107037.12
2018,5,8694.15,44459.31,111227.53
2018,6,8367.35,44775.18,115248.46
2018,7,7523.73,43830.86,110524.66
2018,8,7710.86,43350.56,106060.12
2018,9,6974.65,41812.52,103334.12
2018,10,7374.26,42230.01,104321.46
2018,11,7937.31,39391.38,100139.29
2018,12,7405.61,34643.83,89454.52
2019,1,7374.59,41921.39,104672.46
2019,2,6065.98,40015.65,97156.33
2019,3,6427.72,44114.85,107645.21
2019,4,6243.42,41902.04,103732.56
2019,5,6443.0,43167.27,106315.56
2019,6,6995.31,41310.62,106819.12
2019,7,6677.4,43148.68,107469.61
2019,8,6580.91,41492.73,103379.21
2019,9,6244.34,39712.68,98128.15
2019,10,6376.0,41101.59,100591.69
2019,11,6825.06,40423.99,99811.22
2019,12,6601.3,36044.58,92144.47
